pid,title
1,Cuckoo Song
2,Alison
3,Spring-tide
4,"Blow, Northern Wind"
5,This World’s Joy
6,A Hymn to the Virgin
7,Praise of Women
8,Praise of Women
9,Freedom
10,The Love Unfeigned
11,Balade
12,"Merciles Beaute
A Triple Roundel"
13,Lament for Chaucer
14,Vox ultima Crucis
15,Spring Song of the Birds
16,Robin and Makyne
17,The Bludy Serk
18,To a Lady
19,In Honour of the City of London
20,On the Nativity of Christ
21,Lament for the Makers
22,May in the Green-Wood
23,Carol
24,Quia Amore Langueo
25,The Nut-Brown Maid
26,As ye came from the Holy Land
27,The Lover in Winter Plaineth for the Spring
28,Balow
29,The Old Cloak
30,To Mistress Margery Wentworth
31,To Mistress Margaret Hussey
32,The True Knight
33,An Epitaph
34,Forget not yet
35,The Appeal
36,A Revocation
37,Vixi Puellis Nuper Idoneus ...
38,To His Lute
39,Description of Spring
40,Complaint of the Absence of Her Lover being upon the Sea
41,The Means to attain Happy Life
42,A True Love
43,A Bequest of His Heart
44,A Rondel of Love
45,In Youth is Pleasure
46,Amantium Iræ
47,A Lover’s Lullaby
48,The Night is Near Gone
49,Jolly Good Ale and Old
50,When Flora had O’erfret the Firth
51,Lusty May
52,My Heart is High Above
53,A Praise of His Lady
54,To Her Sea-faring Lover
55,The Faithless Shepherdess
56,Crabbed Age and Youth
57,Phyllida’s Love-Call
58,A Pedlar
59,Hey nonny no!
60,Preparations
61,The New Jerusalem
62,Icarus
63,Madrigal
64,How can the Heart forget her?
65,Tears
66,My Lady’s Tears
67,"Sister, Awake!"
68,Devotion
69,Since First I saw your Face
70,There is a Lady sweet and kind
71,Love not me for comely grace
72,The Wakening
73,Phillida and Coridon
74,A Cradle Song
75,His Pilgrimage
76,His Pilgrimage
77,His Pilgrimage
78,The Conclusion
79,Whilst it is prime
80,A Ditty
81,Prothalamion
82,Epithalamion
83,From ‘Daphnaïda’
84,Easter
85,Cards and Kisses
86,Spring’s Welcome
87,Beauty Bathing
88,The Bargain
89,Song
90,Voices at the Window
91,Philomela
92,The Highway
93,His Lady’s Cruelty
94,Sleep
95,Splendidis longum valedico Nugis
96,Myra
97,Rosalind’s Madrigal
98,Phillis I
99,Phillis 2
100,Rosaline
101,Fair and Fair
102,A Farewell to Arms
103,Samela
104,Fawnia
105,Sephestia’s Lullaby
106,A Summer Day
107,Bridal Song
108,Times go by Turns
109,The Burning Babe
110,On the Death of Sir Philip Sidney
111,Love is a Sickness
112,Ulysses and the Siren
113,"Beauty, Time, and Love"
114,Sonet
115,Ubique
116,To His Coy Love
117,The Parting
118,Sirena
119,Agincourt
120,To the Virginian Voyage
121,The Passionate Shepherd to His Love
122,Her Reply
123,Silvia
124,The Blossom
125,Love
126,Love
127,Love
128,Love
129,Love
130,Love
131,Love
132,Love
133,Sweet-and-Twenty
134,Dirge
135,Under the Greenwood Tree
136,"Blow blow, thou Winter Wind"
137,It was a Lover and his Lass
138,"Take, O take those Lips away"
139,Aubade
140,Fidele
141,Bridal Song
142,Dirge of the Three Queens
143,Orpheus
144,The Phœnix and the Turtle
145,Lullaby
146,Lullaby
147,Lullaby
148,Lullaby
149,Lullaby
150,Lullaby
151,Lullaby
152,Lullaby
153,Lullaby
154,Lullaby
155,Lullaby
156,Lullaby
157,Lullaby
158,Lullaby
159,Lullaby
160,Lullaby
161,Lullaby
162,Lullaby
163,Lullaby
164,Lullaby
165,Lullaby
166,Spring
167,In Time of Pestilence
168,Cherry-Ripe
169,Laura
170,i
171,ii
172,Vobiscum est Iope
173,Hymn in Praise of Neptune
174,Winter Nights
175,Integer Vitae
176,O come quickly!
177,A Nosegay
178,Elizabeth of Bohemia
179,The Character of a Happy Life
180,Upon the Death of Sir Albert Morton’s Wife
181,Man
182,To His Forsaken Mistress
183,To an Inconstant One
184,Hymn to Diana
185,To Celia
186,Simplex Munditiis
187,The Shadow
188,The Triumph
189,An Elegy
190,A Farewell to the World
191,The Noble Balm
192,On Elizabeth L. H.
193,On Salathiel Pavy
194,A Part of an Ode
195,Daybreak
196,Song
197,The Ecstasy
198,The Ecstasy
199,The Dream
200,The Funeral
201,A Hymn to God the Father
202,Death
203,Philomel
204,Sweet Content
205,Matin Song
206,The Message
207,Sleep
208,Bridal Song
209,Aspatia’s Song
210,Hymn to Pan
211,"Away, Delights"
212,Love’s Emblems
213,"Hear, ye Ladies"
214,God Lyaeus
215,Beauty Clear and Fair
216,Melancholy
217,Weep no more
218,A Dirge
219,The Shrouding of the Duchess of Malfi
220,Vanitas Vanitatum
221,Aurora
222,A Litany
223,"Of his Dear Son, Gervase"
224,Invocation
225,Madrigal
226,Spring Bereaved 1
227,Spring Bereaved 2
228,Spring Bereaved 3
229,Her Passing
230,Inexorable
231,Change should breed Change
232,Saint John Baptist
233,Wooing Song
234,On the Tombs in Westminster Abbey
235,Dawn
236,I loved a Lass
237,The Lover’s Resolution
238,The Choice
239,A Widow’s Hymn
240,A Welcome
241,The Sirens’ Song
242,The Rose
243,Song
244,Memory
245,"In Obitum M.S. Xº Maij, 1614"
246,On the Countess Dowager of Pembroke
247,Corinna’s going a-Maying
248,"To the Virgins, to make much of Time"
249,To the Western Wind
250,To Electra
251,To Violets
252,To Daffodils
253,To Blossoms
254,The Primrose
255,The Funeral Rites of the Rose
256,Cherry-Ripe
257,A Meditation for his Mistress
258,Delight in Disorder
259,Upon Julia’s Clothes
260,The Bracelet: To Julia
261,"To Daisies, not to shut so soon"
262,The Night-piece: To Julia
263,"To Music, to becalm his Fever"
264,To Dianeme
265,To Œnone
266,"To Anthea, who may command him Anything"
